epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4484,1.32399,2.45251,1.40568,0.78167,0.75135,0.82059,0.52023,1.26761,1.77752,1.38564,0.000237017,0.000237017,0.000237017
2,73.6876,1.21093,1.38155,1.2823,0.82234,0.85443,0.88492,0.56113,1.25925,1.13618,1.36569,0.000459341,0.000459341,0.000459341
3,109.143,1.20076,1.12183,1.28107,0.73051,0.62992,0.68315,0.36477,1.63667,1.55225,1.67537,0.000665957,0.000665957,0.000665957
4,144.27,1.15895,0.97335,1.2602,0.82961,0.84428,0.89488,0.58376,1.25422,0.94531,1.40268,0.000643314,0.000643314,0.000643314
5,179.466,1.11248,0.87041,1.22882,0.88852,0.8763,0.93666,0.64113,1.15497,0.78193,1.32842,0.000619752,0.000619752,0.000619752
6,214.338,1.08071,0.81951,1.21452,0.8839,0.90203,0.94287,0.65423,1.09836,0.76612,1.28184,0.00059619,0.00059619,0.00059619
7,249.339,1.03949,0.78181,1.19717,0.88152,0.91401,0.94389,0.67505,1.04835,0.71508,1.25269,0.000572628,0.000572628,0.000572628
8,284.641,1.02336,0.77109,1.18885,0.91341,0.92789,0.95866,0.68463,1.04409,0.67049,1.23915,0.000549066,0.000549066,0.000549066
9,319.763,0.98106,0.72396,1.16415,0.9196,0.92151,0.95715,0.693,1.01765,0.64319,1.22687,0.000525504,0.000525504,0.000525504
10,354.603,0.97993,0.71178,1.1594,0.927,0.92105,0.96247,0.70958,0.99776,0.59389,1.21376,0.000501942,0.000501942,0.000501942
11,389.765,0.95638,0.68521,1.15299,0.92848,0.93211,0.96336,0.71655,0.96543,0.60504,1.18701,0.00047838,0.00047838,0.00047838
12,424.754,0.94078,0.67033,1.13773,0.92273,0.91807,0.95728,0.70315,0.99793,0.61098,1.2203,0.000454818,0.000454818,0.000454818
13,459.831,0.91759,0.65068,1.12775,0.93243,0.93599,0.96781,0.72142,0.96658,0.56492,1.18911,0.000431256,0.000431256,0.000431256
14,495.17,0.91846,0.64353,1.13187,0.9297,0.93146,0.96624,0.72963,0.93676,0.56856,1.17396,0.000407694,0.000407694,0.000407694
15,530.297,0.90134,0.62506,1.11643,0.93515,0.93636,0.96748,0.73847,0.9071,0.54,1.15379,0.000384132,0.000384132,0.000384132
16,565.502,0.90257,0.62183,1.11144,0.93313,0.94355,0.96643,0.73113,0.91495,0.57956,1.15995,0.00036057,0.00036057,0.00036057
17,600.561,0.87573,0.60291,1.10849,0.93562,0.93837,0.96947,0.74458,0.91337,0.5354,1.1601,0.000337008,0.000337008,0.000337008
18,635.679,0.86795,0.59309,1.09822,0.95032,0.93967,0.97031,0.7481,0.90154,0.52848,1.15127,0.000313446,0.000313446,0.000313446
19,670.929,0.86511,0.59159,1.09837,0.94599,0.94107,0.97125,0.75325,0.89714,0.51355,1.15125,0.000289884,0.000289884,0.000289884
20,706.342,0.84751,0.58053,1.09316,0.9459,0.94517,0.97311,0.75993,0.87007,0.49853,1.14105,0.000266322,0.000266322,0.000266322
21,742.281,0.76185,0.44009,1.04807,0.94279,0.94624,0.97359,0.76066,0.88506,0.50789,1.1408,0.00024276,0.00024276,0.00024276
22,776.774,0.74692,0.42872,1.04016,0.94372,0.94087,0.97435,0.76718,0.88152,0.5021,1.14081,0.000219198,0.000219198,0.000219198
23,811.018,0.74031,0.41612,1.03494,0.94839,0.94504,0.97495,0.77766,0.86008,0.48448,1.12728,0.000195636,0.000195636,0.000195636
24,845.292,0.7311,0.40509,1.02535,0.94484,0.9408,0.97364,0.78106,0.85549,0.4822,1.12769,0.000172074,0.000172074,0.000172074
25,879.676,0.71135,0.39745,1.01277,0.9463,0.94576,0.97431,0.78317,0.85346,0.47474,1.13228,0.000148512,0.000148512,0.000148512
26,913.913,0.70794,0.39387,1.01116,0.94891,0.9444,0.97551,0.7884,0.83808,0.4667,1.12122,0.00012495,0.00012495,0.00012495
27,948.085,0.68522,0.3852,1.00414,0.94993,0.94699,0.97574,0.78976,0.83327,0.45723,1.11768,0.000101388,0.000101388,0.000101388
28,982.31,0.6777,0.36931,0.99677,0.95207,0.94593,0.97606,0.79381,0.82629,0.45301,1.1134,7.7826e-05,7.7826e-05,7.7826e-05
29,1016.56,0.65523,0.36448,0.98683,0.95057,0.94932,0.97695,0.79471,0.82055,0.44688,1.10772,5.4264e-05,5.4264e-05,5.4264e-05
30,1050.7,0.64518,0.35432,0.98432,0.95288,0.94668,0.97691,0.79638,0.81572,0.44478,1.10532,3.0702e-05,3.0702e-05,3.0702e-05
