epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.299,1.33506,1.8328,1.50578,0.69609,0.61199,0.67919,0.39874,1.46557,1.90196,1.78925,0.000237781,0.000237781,0.000237781
2,382.591,1.33151,1.32485,1.53084,0.80644,0.83112,0.87891,0.55286,1.26136,1.22336,1.56798,0.00046008,0.00046008,0.00046008
3,568.741,1.2531,1.15869,1.48349,0.86286,0.86058,0.90185,0.58551,1.27833,1.07218,1.55129,0.000666671,0.000666671,0.000666671
4,753.859,1.17844,1.02104,1.42962,0.90218,0.90193,0.93647,0.64034,1.13673,0.87765,1.46104,0.000643314,0.000643314,0.000643314
5,939.206,1.11461,0.92658,1.38995,0.90452,0.89944,0.94247,0.67255,1.08384,0.82329,1.40905,0.000619752,0.000619752,0.000619752
6,1124.64,1.06809,0.86216,1.35435,0.92021,0.90872,0.95057,0.68369,1.03916,0.74317,1.39869,0.00059619,0.00059619,0.00059619
7,1310.29,1.02999,0.80287,1.33326,0.90726,0.9265,0.95364,0.69522,1.00682,0.72001,1.36328,0.000572628,0.000572628,0.000572628
8,1495.2,1.00267,0.78784,1.3177,0.91677,0.92383,0.95099,0.70407,1.00887,0.76201,1.37772,0.000549066,0.000549066,0.000549066
9,1680.2,0.98499,0.74968,1.30707,0.91738,0.92767,0.95799,0.71606,0.99441,0.64635,1.35835,0.000525504,0.000525504,0.000525504
10,1864.72,0.9676,0.72505,1.29083,0.9337,0.92828,0.96252,0.72455,0.98077,0.61058,1.34722,0.000501942,0.000501942,0.000501942
11,2049.62,0.93067,0.69172,1.27413,0.9274,0.93599,0.96344,0.72842,0.96088,0.63481,1.32347,0.00047838,0.00047838,0.00047838
12,2234.34,0.915,0.67962,1.26454,0.93712,0.94392,0.97035,0.74065,0.93514,0.5818,1.31417,0.000454818,0.000454818,0.000454818
13,2419.81,0.88222,0.64573,1.23704,0.94639,0.92968,0.96717,0.74263,0.92375,0.57779,1.31687,0.000431256,0.000431256,0.000431256
14,2604.28,0.89162,0.6362,1.24422,0.93094,0.937,0.96413,0.74734,0.91648,0.56855,1.29717,0.000407694,0.000407694,0.000407694
15,2789.3,0.86714,0.61383,1.23011,0.93541,0.94537,0.96761,0.75294,0.88739,0.56701,1.28473,0.000384132,0.000384132,0.000384132
16,2974.3,0.86518,0.60822,1.21623,0.93617,0.9436,0.97103,0.75682,0.89003,0.53905,1.26295,0.00036057,0.00036057,0.00036057
17,3159.46,0.8449,0.59894,1.20953,0.94407,0.94465,0.97146,0.76376,0.88176,0.52337,1.26662,0.000337008,0.000337008,0.000337008
18,3344.46,0.82781,0.57306,1.19807,0.94551,0.94402,0.97132,0.76791,0.86089,0.52467,1.25453,0.000313446,0.000313446,0.000313446
19,3529.63,0.81541,0.56846,1.18962,0.94991,0.94178,0.97292,0.77567,0.8577,0.50366,1.25331,0.000289884,0.000289884,0.000289884
20,3714.28,0.79434,0.55326,1.18355,0.94424,0.94554,0.97302,0.77798,0.85675,0.49386,1.259,0.000266322,0.000266322,0.000266322
21,3900.13,0.7054,0.39282,1.13133,0.94491,0.9439,0.97206,0.7791,0.86675,0.50802,1.26417,0.00024276,0.00024276,0.00024276
22,4085.44,0.67997,0.38498,1.11541,0.95035,0.9374,0.97277,0.78602,0.84652,0.50123,1.24657,0.000219198,0.000219198,0.000219198
23,4270.67,0.67323,0.37164,1.09924,0.93958,0.94766,0.97334,0.78839,0.84912,0.48387,1.24717,0.000195636,0.000195636,0.000195636
24,4456.17,0.65755,0.35979,1.08712,0.94226,0.94526,0.97466,0.79651,0.82452,0.47869,1.2397,0.000172074,0.000172074,0.000172074
25,4641.54,0.64204,0.34817,1.08293,0.94645,0.94899,0.97623,0.79744,0.82244,0.46077,1.23165,0.000148512,0.000148512,0.000148512
26,4825.96,0.63244,0.34257,1.07214,0.94509,0.94513,0.97636,0.79985,0.81049,0.46592,1.22571,0.00012495,0.00012495,0.00012495
27,5011,0.61234,0.32602,1.0603,0.95279,0.94041,0.97505,0.80362,0.80695,0.46343,1.2253,0.000101388,0.000101388,0.000101388
28,5196.34,0.5964,0.31508,1.05009,0.94609,0.95013,0.97635,0.80589,0.80146,0.4556,1.22144,7.7826e-05,7.7826e-05,7.7826e-05
29,5381.26,0.57654,0.30957,1.03565,0.95131,0.94894,0.97758,0.8075,0.80036,0.45325,1.22373,5.4264e-05,5.4264e-05,5.4264e-05
30,5566.31,0.55545,0.29448,1.02487,0.95147,0.94624,0.97791,0.80908,0.79494,0.44716,1.2198,3.0702e-05,3.0702e-05,3.0702e-05
